Velocity (m/s),Thrust_per_unit_Area
0.0,2068.8837062280872
1.0,2176.513527184675
2.0,2146.1153186243287
3.0,2115.20008345419
4.0,2083.938034474754
5.0,2052.3590426952815
6.0,2020.4560333199374
7.0,1988.2765362091243
8.0,1955.708815953723
9.0,1922.5033203676112
10.0,1888.7480928238353
11.0,1854.0287688472606
12.0,1818.4999065091354
13.0,1782.4369440361002
14.0,1746.102528418876
15.0,1709.6115512699766
16.0,1673.047105930304
17.0,1636.1226529326616
18.0,1598.2681646709177
19.0,1560.1720345565107
20.0,1521.532216219106
21.0,1481.6904515933584
22.0,1440.8395052032756
23.0,1399.595707113279
24.0,1358.3253081766522
25.0,1317.0850714327344
26.0,1274.9317174118062
27.0,1231.8556217345874
28.0,1188.1861612269677
29.0,1144.7817494510873
30.0,1101.254507439934
31.0,1056.9119256272215
32.0,1012.0087096508828
33.0,966.2668383883466
34.0,919.9444005595199
35.0,872.8561230193318
36.0,825.1206314861797
37.0,777.0189138394238
38.0,729.3403632557485
39.0,684.0148392863243
40.0,637.1501061494057
41.0,589.6299860978089
42.0,541.590115679208
43.0,493.1849825872215
44.0,444.57076911684226
45.0,396.3007560263616
46.0,348.3651794294638
47.0,299.92672742196504
48.0,250.85488901350985
49.0,201.46512510549292
50.0,151.7817106679313
51.0,101.53863242442952
52.0,50.756087192359466
53.0,9.543511472138112
54.0,-38.91784581927647
55.0,-87.75518616182586
56.0,-136.53206478303971
57.0,-185.8079675836444
58.0,-235.64919832810523
59.0,-285.39393130864636
60.0,-335.37423150282405
61.0,-385.80103628312185
62.0,-436.53584782714637
63.0,-487.24266526208106
64.0,-538.2072903758103
65.0,-590.3183795117941
66.0,-642.6409953946063
67.0,-694.857774965249
68.0,-746.0773495874723
69.0,-798.2472117887577
70.0,-851.2891910371534
71.0,-904.218704523151
72.0,-907.282400876068
73.0,-953.2982183353796
74.0,-999.3979539297983
75.0,-1045.813789565212
76.0,-1092.6344446330447
77.0,-1139.6122780933615
78.0,-1185.8535527178788
79.0,-1232.6156937305007
80.0,-1280.5246918037653
81.0,-1328.4343167359482
82.0,-1375.5003274896287
83.0,-1420.2405194015696
84.0,-1467.0253477809033
